,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,me,MAE,MSE,RMSE,Min,Max,model,y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allconv_complex,[5.481667],[7.286781],[73.21618],[8.556645],[-10.12653],[18.871216],allconv_complex,Wonder
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,allconv_complex,[2.4633434],[5.6595116],[46.92239],[6.849992],[-12.63698],[14.873379],allconv_complex,Wonder
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,allconv_complex,[3.1644912],[4.236298],[26.1425],[5.1129737],[-3.747532],[11.095266],allconv_complex,Transcendence
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,allconv_complex,[8.712676],[10.620383],[153.09079],[12.372986],[-14.158623],[26.558247],allconv_complex,Nostalgia
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,allconv_complex,[5.826658],[7.7384973],[79.443275],[8.913095],[-12.308541],[17.504063],allconv_complex,Tenderness
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,allconv_complex,[8.1089735],[9.499862],[137.25644],[11.71565],[-8.1784315],[32.334015],allconv_complex,Peacfulness
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,allconv_complex,[1.9319903],[5.5077415],[44.238304],[6.6511884],[-14.229378],[12.152054],allconv_complex,Wonder
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,allconv_complex,[3.4191203],[4.2064734],[26.025045],[5.101475],[-3.9553032],[11.483896],allconv_complex,Transcendence
8,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,allconv_complex,[4.149729],[7.6957364],[85.120636],[9.226085],[-18.041199],[17.8001],allconv_complex,Nostalgia
9,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,allconv_complex,[5.21343],[7.4264903],[72.02568],[8.486794],[-12.975734],[16.315134],allconv_complex,Tenderness
10,10.0,10.0,10.0,10.0,,,,,,,,,,,allconv_complex,[58.982525],[64.91962],[177398.06],[421.1865],[-14.198555],[3094.3496],allconv_complex,Peacfulness
11,11.0,11.0,11.0,,,,,,,,,,,,allconv_complex,[2.8367813],[8.173331],[100.406746],[10.020317],[-20.510036],[19.622728],allconv_complex,Joy
12,12.0,12.0,,,,,,,,,,,,,allconv_complex,[3.2076662],[7.9837337],[94.85673],[9.739442],[-32.90167],[14.295242],allconv_complex,Power
13,13.0,,,,,,,,,,,,,,allconv_complex,[-0.38379043],[5.335422],[58.590313],[7.654431],[-26.806828],[8.158927],allconv_complex,Tension
14,,,,,,,,,,,,,,,allconv_complex,[3.3644457],[4.3648353],[25.896105],[5.0888214],[-16.446203],[7.9002485],allconv_complex,Sadness
