,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,me,MAE,MSE,RMSE,Min,Max,model,y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allconv_01,[0.9775922],[5.1836505],[40.477215],[6.3621707],[-14.909728],[11.233063],allconv_01,Wonder
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,allconv_01,[-2.4177425],[5.0920343],[45.985172],[6.7812366],[-18.892212],[8.78483],allconv_01,Wonder
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,allconv_01,[3.5181153],[4.5545893],[31.510168],[5.613392],[-6.6928415],[11.086729],allconv_01,Transcendence
3,3.0,3.0,3.0,3.0,3.0,3.0,,,,allconv_01,[9.274604],[10.943392],[158.20836],[12.578091],[-14.4669],[21.383877],allconv_01,Nostalgia
4,4.0,4.0,4.0,4.0,4.0,,,,,allconv_01,[4.662947],[7.227452],[67.569],[8.2200365],[-14.262084],[15.551848],allconv_01,Tenderness
5,5.0,5.0,5.0,5.0,,,,,,allconv_01,[6.267683],[8.663735],[118.599106],[10.890322],[-9.470242],[25.51829],allconv_01,Peacfulness
6,6.0,6.0,6.0,,,,,,,allconv_01,[-0.1161397],[10.169618],[166.70934],[12.911597],[-27.558186],[31.125324],allconv_01,Joy
7,7.0,7.0,,,,,,,,allconv_01,[-2.274625],[6.647204],[92.06964],[9.595293],[-37.29798],[10.029506],allconv_01,Power
8,8.0,,,,,,,,,allconv_01,[1.4843066],[6.3045435],[67.618454],[8.223044],[-26.991507],[19.770596],allconv_01,Tension
9,,,,,,,,,,allconv_01,[2.7143185],[3.7774873],[20.764297],[4.556786],[-12.968293],[8.955067],allconv_01,Sadness
